Customer ID,Date of Purchase,Date of Shipping,Order ID,Product Name,Ship Mode,SKU,Discount,Quantity,Total Price
HS222,2022-01-03,2022-01-08,OR-2021-141243,K-Invert 9K,Second Class,KI9K,0.04,9,171072.0
LT176,2023-06-21,2023-06-26,MS-2022-119865,K-Invert 9K,Standard Class,KI9K,0.08,2,36432.0
CA368,2021-06-04,2021-06-09,GA-2020-151946,K-Invert 9K,Standard Class,KI9K,0.5,2,19800.0
KP976,2023-03-10,2023-03-16,HI-2022-112977,K-Invert 9K,Standard Class,KI9K,0.15,1,16830.0
LR311,2021-09-25,2021-09-30,TN-2020-112914,K-Invert 9K,Standard Class,KI9K,0.03,2,38412.0
SK733,2024-10-12,2024-10-16,OK-2023-150091,K-Invert 13K,Standard Class,KI13K,0.0,5,143000.0
BH538,2021-01-14,2021-01-15,GA-2020-149524,K-Invert 20K,First Class,KI20K,0.01,4,174240.0
JD838,2024-07-21,2024-07-27,WA-2023-104731,K-Invert 2K,Standard Class,KI2K,0.12,3,8078.4
AW191,2023-12-23,2023-12-24,NE-2022-115574,K-Invert 2K,First Class,KI2K,0.06,2,5752.8
IH716,2024-11-13,2024-11-19,VT-2023-113873,K-Invert 2K,Standard Class,KI2K,0.24,3,6976.8
CR901,2024-12-30,2025-01-03,LA-2023-143259,K-Invert 2K,Standard Class,KI2K,0.04,4,11750.4
ED714,2023-12-08,2023-12-12,LA-2022-160108,K-Invert 4K,Standard Class,KI4K,0.05,7,40698.0
KS246,2022-12-11,2022-12-16,NV-2021-104346,K-Invert 4K,Standard Class,KI4K,0.18,4,20073.6
CB608,2023-07-19,2023-07-25,OK-2022-163776,K-Invert 7K,Standard Class,KI7K,0.0,5,53550.0
KP976,2024-05-18,2024-05-19,HI-2023-159464,K-Invert 7K,First Class,KI7K,0.11,3,28595.7
ZM708,2024-03-02,2024-03-08,NV-2023-104885,K-Invert 9K,Standard Class,KI9K,0.14,2,34056.0
OM513,2022-10-05,2022-10-09,AR-2021-133445,K-Invert 9K,Standard Class,KI9K,0.1,1,17820.0
HS222,2022-12-20,2022-12-25,OR-2021-123218,K-Invert 4K,Standard Class,KI4K,0.09,3,16707.6
KS246,2024-02-10,2024-02-14,NV-2023-124086,K-Invert 7K,Standard Class,KI7K,0.13,2,18635.4
CB608,2023-02-05,2023-02-05,OK-2022-108504,K-Invert 7K,Same Day,KI7K,0.13,2,18635.4
LJ868,2023-03-29,2023-04-02,WY-2022-127236,K-Invert 7K,Standard Class,KI7K,0.37,5,33736.5
JC375,2021-07-09,2021-07-14,CO-2020-113271,K-Invert 9K,Standard Class,KI9K,0.14,1,17028.0
SD934,2024-09-03,2024-09-07,NV-2023-153255,K-Invert 9K,Second Class,KI9K,0.13,2,34452.0
MR358,2023-06-17,2023-06-19,GA-2022-123512,K-Invert 9K,First Class,KI9K,0.08,2,36432.0
NS930,2022-05-31,2022-06-04,MN-2021-147788,K-Invert 13K,Standard Class,KI13K,0.13,7,174174.0
DD311,2022-12-25,2023-01-01,TN-2021-153717,K-Invert 20K,Standard Class,KI20K,0.04,1,42240.0
CB608,2021-05-10,2021-05-14,OK-2020-114181,K-Invert 4K,Second Class,KI4K,0.13,7,37270.8
QM203,2024-05-05,2024-05-06,KY-2023-105991,K-Invert 4K,First Class,KI4K,0.23,3,14137.2
AW191,2023-09-26,2023-10-01,NE-2022-146794,K-Invert 4K,Standard Class,KI4K,0.02,5,29988.0
GF707,2022-07-20,2022-07-27,WA-2021-122784,K-Invert 7K,Standard Class,KI7K,0.01,4,42411.6
ED714,2022-08-28,2022-09-04,LA-2021-121188,K-Invert 9K,Standard Class,KI9K,0.09,2,36036.0
MF838,2022-09-10,2022-09-14,NE-2021-147242,K-Invert 9K,Standard Class,KI9K,0.15,2,33660.0
RB330,2023-11-20,2023-11-25,MD-2022-113845,K-Invert 9K,Standard Class,KI9K,0.04,2,38016.0
JG491,2024-05-28,2024-06-01,GA-2023-161340,K-Invert 13K,Standard Class,KI13K,0.1,4,102960.0
JL549,2022-07-17,2022-07-20,OH-2021-149629,K-Invert 13K,Second Class,KI13K,0.02,5,140140.0
MF838,2024-04-25,2024-04-27,NE-2023-159226,K-Invert 13K,Second Class,KI13K,0.01,7,198198.0
KK578,2022-09-17,2022-09-21,OH-2021-150630,K-Invert 20K,Standard Class,KI20K,0.02,7,301840.0
QM203,2024-08-21,2024-08-23,KY-2023-155705,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (4-pack),Second Class,KEPATH04,0.22,4,59.37
AW191,2022-09-13,2022-09-18,NE-2021-115567,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (4-pack),Standard Class,KEPATH04,0.54,7,61.28
BL360,2024-10-21,2024-10-22,WI-2023-167094,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (8-pack),First Class,KEPATH08,0.39,2,40.48
NM892,2023-04-12,2023-04-14,MI-2022-163594,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (12-pack),First Class,KEPATH12,0.23,3,101.46
AL696,2024-06-30,2024-07-04,VT-2023-163006,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery,Second Class,KEPATH01,0.34,3,10.39
SD934,2024-01-19,2024-01-24,NV-2023-153045,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (4-pack),Second Class,KEPATH04,0.74,3,14.84
AE177,2022-10-25,2022-10-25,MA-2021-130848,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (8-pack),Same Day,KEPATH08,0.14,8,228.28
OM513,2022-10-05,2022-10-09,AR-2021-133445,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (8-pack),Standard Class,KEPATH08,0.37,4,83.61
KP976,2024-11-18,2024-11-23,HI-2023-160122,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (8-pack),Standard Class,KEPATH08,0.13,2,57.73
KS246,2023-11-08,2023-11-11,NV-2022-152156,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (12-pack),Second Class,KEPATH12,0.24,3,100.14
DD951,2023-04-07,2023-04-12,TN-2022-120530,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (12-pack),Standard Class,KEPATH12,0.59,3,54.02
RB330,2024-11-29,2024-12-03,MD-2023-108035,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (12-pack),Standard Class,KEPATH12,0.58,2,36.89
KS246,2021-12-19,2021-12-21,NV-2020-120768,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery,Second Class,KEPATH01,0.56,14,32.34
MM723,2022-04-26,2022-05-02,VA-2021-134026,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery,Standard Class,KEPATH01,0.16,8,35.28
DF542,2023-10-27,2023-10-31,FL-2022-116596,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (4-pack),Standard Class,KEPATH04,0.43,14,151.86
SD934,2024-10-01,2024-10-02,NV-2023-129378,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (4-pack),First Class,KEPATH04,0.62,4,28.93
AL696,2021-07-26,2021-08-01,VT-2020-116190,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (4-pack),Standard Class,KEPATH04,0.34,2,25.12
DD951,2022-11-07,2022-11-09,TN-2021-102848,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (8-pack),Second Class,KEPATH08,0.4,1,19.91
QM203,2024-05-07,2024-05-11,KY-2023-141733,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (8-pack),Standard Class,KEPATH08,0.43,2,37.83
HS222,2022-11-07,2022-11-09,OR-2021-162887,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (8-pack),Second Class,KEPATH08,0.49,3,50.77
MM723,2024-06-16,2024-06-21,VA-2023-129462,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (12-pack),Second Class,KEPATH12,0.47,2,46.56
DD951,2024-09-24,2024-09-28,TN-2023-142034,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (12-pack),Standard Class,KEPATH12,0.22,4,137.03
CB608,2024-10-22,2024-10-24,OK-2023-130141,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery,Second Class,KEPATH01,0.43,4,11.97
RB330,2023-07-07,2023-07-11,MD-2022-159940,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (4-pack),Second Class,KEPATH04,0.64,2,13.7
LR311,2023-11-14,2023-11-19,TN-2022-121370,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (4-pack),Second Class,KEPATH04,0.24,3,43.39
KS246,2022-12-10,2022-12-16,NV-2021-138093,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (4-pack),Standard Class,KEPATH04,0.57,3,24.55
DF542,2023-10-27,2023-11-01,FL-2022-120873,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (8-pack),Second Class,KEPATH08,0.14,1,28.53
BM992,2023-04-02,2023-04-06,MD-2022-123540,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (8-pack),Second Class,KEPATH08,0.21,5,131.06
BL360,2024-12-09,2024-12-13,WI-2023-139199,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (8-pack),Standard Class,KEPATH08,0.66,3,33.84
JC375,2023-11-18,2023-11-23,CO-2022-115378,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (12-pack),Second Class,KEPATH12,0.63,2,32.5
MM723,2024-01-30,2024-02-06,VA-2023-112725,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (12-pack),Standard Class,KEPATH12,0.2,1,35.14
MR366,2023-03-15,2023-03-19,MI-2022-149272,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (12-pack),Standard Class,KEPATH12,0.56,5,96.62
CR901,2024-05-28,2024-05-30,LA-2023-140088,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (12-pack),Second Class,KEPATH12,0.4,2,52.7
KS246,2021-11-11,2021-11-18,NV-2020-105270,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery,Standard Class,KEPATH01,0.23,1,4.04
AE177,2021-09-19,2021-09-19,MA-2020-168130,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery,Same Day,KEPATH01,0.53,7,17.27
HS222,2023-08-15,2023-08-17,OR-2022-154690,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery,Second Class,KEPATH01,0.09,2,9.55
ED714,2021-12-16,2021-12-20,LA-2020-153913,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery,Second Class,KEPATH01,0.01,9,46.78
JC375,2024-07-21,2024-07-25,CO-2023-145429,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery,Standard Class,KEPATH01,0.04,2,10.08
QM203,2023-10-01,2023-10-02,KY-2022-157686,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (4-pack),First Class,KEPATH04,0.34,4,50.24
LJ868,2021-05-05,2021-05-08,WY-2020-110219,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (4-pack),First Class,KEPATH04,0.61,3,22.27
LR311,2021-12-24,2021-12-29,TN-2020-167738,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (4-pack),Standard Class,KEPATH04,0.33,6,76.5
DF542,2024-07-27,2024-08-01,FL-2023-107209,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (4-pack),Second Class,KEPATH04,0.75,4,19.03
DF542,2024-12-25,2024-12-28,FL-2023-163510,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (4-pack),Second Class,KEPATH04,0.69,5,29.5
OM513,2022-03-05,2022-03-05,AR-2021-109512,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (4-pack),Same Day,KEPATH04,0.47,7,70.6
DF542,2022-04-30,2022-05-05,FL-2021-164175,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (4-pack),Standard Class,KEPATH04,0.56,5,41.87
MM723,2024-05-28,2024-06-02,VA-2023-118556,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (4-pack),Second Class,KEPATH04,0.46,3,30.83
ZF166,2024-10-05,2024-10-10,IN-2023-131807,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (8-pack),Standard Class,KEPATH08,0.61,4,51.76
ZF166,2024-10-05,2024-10-10,IN-2023-131807,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (8-pack),Standard Class,KEPATH08,0.63,2,24.55
MM723,2023-09-19,2023-09-19,VA-2022-156097,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (12-pack),Same Day,KEPATH12,0.06,2,82.57
TP113,2023-11-07,2023-11-12,MS-2022-152247,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (12-pack),Standard Class,KEPATH12,0.57,4,75.54
BM992,2021-07-21,2021-07-25,MD-2020-116932,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (12-pack),Standard Class,KEPATH12,0.43,2,50.07
RB330,2024-11-13,2024-11-18,MD-2023-122490,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (12-pack),Standard Class,KEPATH12,0.35,6,171.29
IH716,2023-06-12,2023-06-17,VT-2022-121465,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery,Standard Class,KEPATH01,0.31,3,10.87
IH716,2024-03-16,2024-03-21,VT-2023-130494,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery,Standard Class,KEPATH01,0.16,3,13.23
JC375,2022-12-22,2022-12-23,CO-2021-157287,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery,First Class,KEPATH01,0.33,7,24.62
MM723,2023-12-01,2023-12-05,VA-2022-113621,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery,Standard Class,KEPATH01,0.14,2,9.03
JC375,2024-12-29,2025-01-01,CO-2023-158526,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery,Second Class,KEPATH01,0.7,3,4.73
AL696,2024-05-09,2024-05-10,VT-2023-134810,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery,First Class,KEPATH01,0.14,3,13.54
MP748,2021-04-29,2021-05-03,IL-2020-107811,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (4-pack),Standard Class,KEPATH04,0.22,2,29.69
MP748,2021-09-20,2021-09-23,IL-2020-125997,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (4-pack),First Class,KEPATH04,0.74,2,9.9
DF542,2023-11-24,2023-11-30,FL-2022-163881,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (4-pack),Standard Class,KEPATH04,0.17,6,94.77
BM992,2022-10-04,2022-10-09,MD-2021-168004,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (8-pack),Second Class,KEPATH08,0.57,3,42.8
ED714,2021-11-18,2021-11-23,LA-2020-161032,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (8-pack),Standard Class,KEPATH08,0.45,3,54.75
AL696,2022-06-29,2022-07-02,VT-2021-165799,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (8-pack),First Class,KEPATH08,0.63,1,12.28
RN447,2022-09-25,2022-09-25,AK-2021-151869,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (12-pack),Same Day,KEPATH12,0.04,1,42.16
OM513,2022-11-01,2022-11-05,AR-2021-141740,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (12-pack),Standard Class,KEPATH12,0.47,2,46.56
IH716,2024-10-10,2024-10-16,VT-2023-111717,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (12-pack),Standard Class,KEPATH12,0.59,3,54.02
BM992,2022-11-17,2022-11-21,MD-2021-126725,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery,Standard Class,KEPATH01,0.41,2,6.2
BM992,2023-12-16,2023-12-23,MD-2022-118332,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery,Standard Class,KEPATH01,0.32,5,17.85
AW191,2021-12-10,2021-12-14,NE-2020-112991,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery,Standard Class,KEPATH01,0.63,3,5.83
KP976,2024-03-27,2024-04-01,HI-2023-144491,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (4-pack),Standard Class,KEPATH04,0.11,2,33.87
LJ868,2023-12-29,2024-01-02,WY-2022-156300,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (4-pack),Standard Class,KEPATH04,0.33,5,63.75
LR311,2021-07-12,2021-07-18,TN-2020-131310,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (8-pack),Standard Class,KEPATH08,0.6,4,53.09
MR366,2023-10-20,2023-10-25,MI-2022-139549,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (12-pack),Standard Class,KEPATH12,0.71,4,50.95
JD838,2023-09-18,2023-09-23,WA-2022-145905,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery,Standard Class,KEPATH01,0.15,1,4.46
DD951,2022-07-25,2022-07-27,TN-2021-148635,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery,Second Class,KEPATH01,0.77,2,2.42
CB608,2022-10-13,2022-10-17,OK-2021-114300,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (4-pack),Standard Class,KEPATH04,0.11,3,50.81
RA868,2022-08-02,2022-08-05,OH-2021-122406,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (8-pack),Second Class,KEPATH08,0.34,1,21.9
BL360,2021-11-23,2021-11-26,WI-2020-143721,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (8-pack),Second Class,KEPATH08,0.36,2,42.47
AL696,2022-09-17,2022-09-23,VT-2021-126977,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (8-pack),Standard Class,KEPATH08,0.43,2,37.83
BM992,2021-11-16,2021-11-20,MD-2020-139500,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (12-pack),Standard Class,KEPATH12,0.79,2,18.45
MP748,2024-08-17,2024-08-24,IL-2023-133102,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (12-pack),Standard Class,KEPATH12,0.41,4,103.65
NM892,2024-05-15,2024-05-20,MI-2023-110604,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (12-pack),Standard Class,KEPATH12,0.69,2,27.23
QM203,2024-05-07,2024-05-11,KY-2023-141733,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (12-pack),Standard Class,KEPATH12,0.65,1,15.37
KP976,2024-05-01,2024-05-06,HI-2023-102204,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery,Standard Class,KEPATH01,0.49,5,13.39
MM723,2022-10-15,2022-10-15,VA-2021-139731,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery,Same Day,KEPATH01,0.73,5,7.09
MP748,2023-05-27,2023-05-29,IL-2022-122903,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery,Second Class,KEPATH01,0.04,5,25.2
OM513,2024-08-17,2024-08-22,AR-2023-118892,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery,Second Class,KEPATH01,0.06,9,44.41
LJ868,2024-01-30,2024-02-04,WY-2023-148999,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (4-pack),Standard Class,KEPATH04,0.48,4,39.58
MP748,2022-11-02,2022-11-04,IL-2021-160227,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (8-pack),First Class,KEPATH08,0.74,11,94.89
KP976,2023-05-07,2023-05-11,HI-2022-128818,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (12-pack),Standard Class,KEPATH12,0.46,4,94.87
GF707,2023-09-23,2023-09-28,WA-2022-149979,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (12-pack),Second Class,KEPATH12,0.53,3,61.93
DD951,2021-07-12,2021-07-16,TN-2020-161508,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery,Standard Class,KEPATH01,0.31,3,10.87
MM723,2024-11-25,2024-11-30,VA-2023-150266,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery,Standard Class,KEPATH01,0.74,5,6.83
AL696,2022-07-30,2022-08-01,VT-2021-164966,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (4-pack),First Class,KEPATH04,0.21,6,90.2
TP113,2024-08-07,2024-08-11,MS-2023-156776,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (8-pack),Standard Class,KEPATH08,0.53,1,15.59
JD838,2021-10-31,2021-11-02,WA-2020-145387,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (12-pack),Second Class,KEPATH12,0.39,5,133.96
NM892,2024-08-12,2024-08-12,MI-2023-118941,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery,Same Day,KEPATH01,0.16,5,22.05
RB330,2023-07-18,2023-07-24,MD-2022-114727,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery,Standard Class,KEPATH01,0.14,3,13.54
QM203,2023-09-26,2023-10-01,KY-2022-157945,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery,Standard Class,KEPATH01,0.03,3,15.28
ED714,2023-12-08,2023-12-12,LA-2022-160108,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (4-pack),Standard Class,KEPATH04,0.68,3,18.27
RB330,2023-07-18,2023-07-24,MD-2022-114727,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (4-pack),Standard Class,KEPATH04,0.13,3,49.67
GF707,2021-07-18,2021-07-18,WA-2020-123295,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (8-pack),Same Day,KEPATH08,0.36,4,84.94
MM723,2023-10-20,2023-10-24,VA-2022-133697,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (8-pack),Second Class,KEPATH08,0.1,1,29.86
BM992,2023-09-05,2023-09-07,MD-2022-115756,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (8-pack),Second Class,KEPATH08,0.37,3,62.71
GF707,2021-12-16,2021-12-17,WA-2020-136399,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery,First Class,KEPATH01,0.06,2,9.87
JC375,2024-12-29,2025-01-01,CO-2023-158526,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery,Second Class,KEPATH01,0.06,8,39.48
KP976,2021-04-18,2021-04-22,HI-2020-100678,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery,Standard Class,KEPATH01,0.67,3,5.2
RB330,2023-07-25,2023-07-31,MD-2022-126158,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery,Standard Class,KEPATH01,0.26,2,7.77
LJ868,2023-09-05,2023-09-11,WY-2022-148110,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (4-pack),Standard Class,KEPATH04,0.76,7,31.97
IH716,2021-06-08,2021-06-12,VT-2020-109162,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (4-pack),Standard Class,KEPATH04,0.0,3,57.09
